data
"GO TO GOAL; distance to goal: 2.87354537676"
"GO TO GOAL; distance to goal: 2.8597620145"
"GO TO GOAL; distance to goal: 2.84454729282"
"GO TO GOAL; distance to goal: 2.82853954228"
"GO TO GOAL; distance to goal: 2.81143565869"
"GO TO GOAL; distance to goal: 2.79374303691"
"GO TO GOAL; distance to goal: 2.77460732631"
"GO TO GOAL; distance to goal: 2.75509822834"
"GO TO GOAL; distance to goal: 2.73483623899"
"GO TO GOAL; distance to goal: 2.71421750812"
"GO TO GOAL; distance to goal: 2.69283670285"
"GO TO GOAL; distance to goal: 2.67092793589"
"GO TO GOAL; distance to goal: 2.64852333298"
"GO TO GOAL; distance to goal: 2.62602048173"
"GO TO GOAL; distance to goal: 2.60290006873"
"GO TO GOAL; distance to goal: 2.57970298356"
"GO TO GOAL; distance to goal: 2.55641849412"
"GO TO GOAL; distance to goal: 2.53300119314"
"GO TO GOAL; distance to goal: 2.50945629913"
"GO TO GOAL; distance to goal: 2.48594292546"
"GO TO GOAL; distance to goal: 2.46241323343"
"GO TO GOAL; distance to goal: 2.43927457284"
"GO TO GOAL; distance to goal: 2.41588371485"
"GO TO GOAL; distance to goal: 2.39249258013"
"GO TO GOAL; distance to goal: 2.36909280052"
"GO TO GOAL; distance to goal: 2.34581294206"
"GO TO GOAL; distance to goal: 2.3225942647"
"GO TO GOAL; distance to goal: 2.29948368552"
"GO TO GOAL; distance to goal: 2.27651465867"
"GO TO GOAL; distance to goal: 2.25387963883"
"GO TO GOAL; distance to goal: 2.23149157853"
"GO TO GOAL; distance to goal: 2.20934107412"
"GO TO GOAL; distance to goal: 2.18766822895"
"GO TO GOAL; distance to goal: 2.16608110397"
"GO TO GOAL; distance to goal: 2.14491277208"
"GO TO GOAL; distance to goal: 2.12412519241"
"GO TO GOAL; distance to goal: 2.10373915083"
"GO TO GOAL; distance to goal: 2.08363922331"
"GO TO GOAL; distance to goal: 2.06383646498"
"GO TO GOAL; distance to goal: 2.04434288119"
"GO TO GOAL; distance to goal: 1.79549600493"
"GO TO GOAL; distance to goal: 1.79550754944"
"GO TO GOAL; distance to goal: 1.79553279443"
"GO TO GOAL; distance to goal: 1.79562851406"
"GO TO GOAL; distance to goal: 1.79591469494"
"GO TO GOAL; distance to goal: 1.79606196655"
"GO TO GOAL; distance to goal: 1.79619375396"
"GO TO GOAL; distance to goal: 1.79649642006"
"GO TO GOAL; distance to goal: 1.79671452405"
"GO TO GOAL; distance to goal: 1.79701207826"
"GO TO GOAL; distance to goal: 1.79619833878"
"GO TO GOAL; distance to goal: 1.79609189169"
"GO TO GOAL; distance to goal: 1.79551098616"
"GO TO GOAL; distance to goal: 1.79443196106"
"GO TO GOAL; distance to goal: 1.79295754638"
"GO TO GOAL; distance to goal: 1.79109737622"
"GO TO GOAL; distance to goal: 1.78903483379"
"GO TO GOAL; distance to goal: 1.78655400491"
"GO TO GOAL; distance to goal: 1.78388400998"
"GO TO GOAL; distance to goal: 1.78161944268"
"GO TO GOAL; distance to goal: 1.77749672353"
"GO TO GOAL; distance to goal: 1.77532549247"
"GO TO GOAL; distance to goal: 1.77199869642"
"GO TO GOAL; distance to goal: 1.76847441133"
"GO TO GOAL; distance to goal: 1.76406775961"
"GO TO GOAL; distance to goal: 1.76037702955"
"GO TO GOAL; distance to goal: 1.75647401523"
"GO TO GOAL; distance to goal: 1.75264769583"
"GO TO GOAL; distance to goal: 1.74857527254"
"GO TO GOAL; distance to goal: 1.74427341151"
"GO TO GOAL; distance to goal: 1.74171819517"
"GO TO GOAL; distance to goal: 1.73574773107"
"GO TO GOAL; distance to goal: 1.73139803107"
"GO TO GOAL; distance to goal: 1.72782190256"
"GO TO GOAL; distance to goal: 1.72216450648"
"GO TO GOAL; distance to goal: 1.71810698384"
"GO TO GOAL; distance to goal: 1.71152847278"
"GO TO GOAL; distance to goal: 1.70692295904"
"GO TO GOAL; distance to goal: 1.70289320818"
"GO TO GOAL; distance to goal: 1.69607822903"
"GO TO GOAL; distance to goal: 1.69042985419"
"GO TO GOAL; distance to goal: 1.68501679472"
"GO TO GOAL; distance to goal: 1.6805043526"
"GO TO GOAL; distance to goal: 1.67213954902"
"GO TO GOAL; distance to goal: 1.66670008294"
"GO TO GOAL; distance to goal: 1.66180895858"
"GO TO GOAL; distance to goal: 1.65449419848"
"GO TO GOAL; distance to goal: 1.64578040555"
"GO TO GOAL; distance to goal: 1.63970648755"
"GO TO GOAL; distance to goal: 1.6383174002"
"GO TO GOAL; distance to goal: 1.62508384613"
"GO TO GOAL; distance to goal: 1.62374178367"
